"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","ESI26","UCT109","UCT110","UCT113","UCT29","UCT30","UCT31","UCT32","UCT35","UCT50","UCT92","UCT96","UNY149","UNY169","UNY172","UNY193","UNY203","UNY208","URI101","URI102","URI103","URI107","URI111","URI112","URI117","URI118","URI120","URI33","URI34","URI36","URI39","URI40","URI41","URI42","URI44","URI46","URI47","URI48","URI56","URI86","URI87","URI88","URI89","URI91","URI93","UWI247","UWI248","UWI263","UWI283"
"group_398","DUF787 domain-containing protein","DUF787 domain-containing protein","1","1","1","63","2307","1","1659","","488","488","488","","","","HCLMIK_05990","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ackA","","Acetate kinase","1","1","1","63","876","2","75","","1217","1217","1217","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AFNEPP_02425","","","","","","","","","","","","","","","","","","","",""
"group_3983","tig","trigger factor","1","1","1","63","864","2","63","","1364","1364","1364","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AFNEPP_02355","","","","","","","","","","","","","","","","","","","",""
"group_3985","Lipoprotein","Lipoprotein","1","1","1","63","1006","2","205","","767","767","767","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AFNEPP_03115","","","","","","","","","","","","","","","","","","","",""
"group_3988","RNA pseudouridine synthase family protein","RNA pseudouridine synthase family protein","1","1","1","63","3180","1","670","","947","947","947","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AFNEPP_00450","","","","","","","","","","","","","","","","","","","",""
"group_3990","mltG","Endolytic transglycosylase MltG, terminates peptidoglycan polymerization","1","1","1","63","960","2","159","","1031","1031","1031","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AFNEPP_02870","","","","","","","","","","","","","","","","","","","",""
"group_3994","trmD","tRNA (guanosine(37)-N1)-methyltransferase TrmD","1","1","1","63","950","2","149","","719","719","719","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AFNEPP_02810","","","","","","","","","","","","","","","","","","","",""
"group_3996","cutS","Aldehyde, CO, or xanthine dehydrogenase, Fe-S subunit, CoxS/CutS family","1","1","1","63","810","2","9","","467","467","467","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AFNEPP_02060","","","","","","","","","","","","","","","","","","","",""
"group_4001","rsmA","16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase RsmA","1","1","1","63","845","2","44","","845","845","845","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AFNEPP_02240","","","","","","","","","","","","","","","","","","","",""
"group_4005","clpP","ATP-dependent Clp endopeptidase proteolytic subunit ClpP","1","1","1","63","865","2","64","","593","593","593","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AFNEPP_02360","","","","","","","","","","","","","","","","","","","",""
"group_4008","cheR","Methylase of chemotaxis methyl-accepting proteins","1","1","1","63","923","2","122","","1400","1400","1400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AFNEPP_02670","","","","","","","","","","","","","","","","","","","",""
"group_4012","bptA","Protein BptA","1","1","1","63","915","2","114","","410","410","410","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AFNEPP_02630","","","","","","","","","","","","","","","","","","","",""
"group_4016","Uncharacterized protein BBD24","Uncharacterized protein BBD24","1","1","1","63","1573","1","1073","","230","230","230","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CIPKDF_05930","","","","","",""
"group_4017","Uncharacterized protein BBD24","Uncharacterized protein BBD24","1","1","1","63","1576","1","1075","","230","230","230","","","","HCLMIK_05735","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_4018","Uncharacterized protein BBD24","Uncharacterized protein BBD24","1","1","1","63","1456","1","1078","","230","230","230","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HCFOCN_05725","","","","","","","","","","","","","","","","","","",""
"group_4019","Uncharacterized protein BBD24","Uncharacterized protein BBD24","1","1","1","63","1562","1","1068","","230","230","230","","","","","","","","","JODKDA_05935","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_4021","Uncharacterized protein BBD24","Uncharacterized protein BBD24","1","1","1","219","1","291","1","Investigate","230","230","230","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EMEHFM_05610",""
"group_4023","nlpD","Murein DD-endopeptidase MepM and murein hydrolase activator NlpD, contains LysM domain","1","1","1","63","1009","2","208","","887","887","887","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AFNEPP_03135","","","","","","","","","","","","","","","","","","","",""
"group_4025","rpsP","30S ribosomal protein S16","1","1","1","63","947","2","146","","260","260","260","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AFNEPP_02795","","","","","","","","","","","","","","","","","","","",""
"group_4027","clpA","ATP-dependent Clp protease, ATP-binding subunit ClpA","1","1","1","63","3198","1","688","","2219","2219","2219","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AFNEPP_00360","","","","","","","","","","","","","","","","","","","",""
"group_4032","Plasmid partitioning associated protein-1","Plasmid partitioning associated protein-1","1","1","1","64","31","471","16","","584","584","584","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HEGNPG_04810","","","","","","","","","","",""
"group_4036","DUF276 domain-containing protein","DUF276 domain-containing protein","1","1","1","64","40","471","7","","872","872","872","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HEGNPG_04855","","","","","","","","","","",""
"group_4039","pncB","nicotinate phosphoribosyltransferase","1","1","1","63","888","2","87","","1445","1445","1445","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AFNEPP_02495","","","","","","","","","","","","","","","","","","","",""
"group_4047","hypothetical protein","hypothetical protein","1","1","1","63","1442","1","1472","","683","683","683","CKDGNL_05200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_4049","coaBC","bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC","1","1","1","63","3178","1","668","","1172","1172","1172","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AFNEPP_00460","","","","","","","","","","","","","","","","","","","",""
"group_4050","coaBC","bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC","1","1","1","172","1","260","1","Investigate","1172","1172","1172","","","","","","","","","","","","","","","","","GDPOAI_05980","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_4052","DNA polymerase III subunit gamma/tau","DNA polymerase III subunit gamma/tau","1","1","1","63","1012","2","211","","1046","1046","1046","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AFNEPP_03150","","","","","","","","","","","","","","","","","","","",""
"group_4057","DUF2147 domain-containing protein","DUF2147 domain-containing protein","1","1","1","63","1024","2","223","","560","560","560","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AFNEPP_03210","","","","","","","","","","","","","","","","","","","",""
"group_4059","ospB","outer surface lipoprotein OspB","1","1","1","64","33","471","14","","890","890","890","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HEGNPG_04820","","","","","","","","","","",""
"group_4061","rpsB","30S ribosomal protein S2","1","1","1","56","1","188","1","Investigate","767","767","767","","","","","","","","","","","","","","","","KFEJKD_06970","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_4067","Homing endonuclease LAGLIDADG domain-containing protein","Homing endonuclease LAGLIDADG domain-containing protein","1","1","1","63","1439","1","1469","","326","326","326","CKDGNL_05215","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_4068","Homing endonuclease LAGLIDADG domain-containing protein","Homing endonuclease LAGLIDADG domain-containing protein","1","1","1","25","1","166","1","Investigate","326","326","326","","","","","","","","","","","","","","","","KFEJKD_06960","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_4076","nth","Endonuclease III","1","1","1","63","994","2","193","","617","617","617","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AFNEPP_03055","","","","","","","","","","","","","","","","","","","",""
"group_4078","Outer membrane protein","Outer membrane protein","1","1","1","63","1040","2","239","","623","623","623","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AFNEPP_03295","","","","","","","","","","","","","","","","","","","",""
"group_4083","DZANK-type domain-containing protein","DZANK-type domain-containing protein","1","1","1","63","914","2","113","","356","356","356","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AFNEPP_02625","","","","","","","","","","","","","","","","","","","",""
"group_4085","ldcB","LD-carboxypeptidase LdcB, LAS superfamily","1","1","1","63","837","2","36","","788","788","788","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AFNEPP_02200","","","","","","","","","","","","","","","","","","","",""
"group_4087","arcA","arginine deiminase","1","1","1","63","3206","1","696","","1232","1232","1232","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AFNEPP_00320","","","","","","","","","","","","","","","","","","","",""
"group_4090","lolA","Outer membrane lipoprotein carrier protein LolA","1","1","1","63","988","2","187","","587","587","587","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AFNEPP_03015","","","","","","","","","","","","","","","","","","","",""
"PTS system, fructose-specific IIABC component","","PTS system, fructose-specific IIABC component","1","1","1","63","882","2","81","","1871","1871","1871","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AFNEPP_02460","","","","","","","","","","","","","","","","","","","",""
"group_4096","Plasmid partition protein","Plasmid partition protein","1","1","1","64","110","471","56","","317","317","317","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HEGNPG_04710","","","","","","","","","","",""
"group_4099","parA","ParA-like ATPase involved in chromosome/plasmid partitioning or cellulose biosynthesis protein BcsQ","1","1","1","63","1976","1","443","","758","758","758","","","","","","","GCGJFL_04715","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_4100","parA","ParA-like ATPase involved in chromosome/plasmid partitioning or cellulose biosynthesis protein BcsQ","1","1","1","63","1966","1","534","","758","758","758","","","","","","","","","","ANPAAP_04940","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_4102","parA","ParA-like ATPase involved in chromosome/plasmid partitioning or cellulose biosynthesis protein BcsQ","1","1","1","63","1942","1","508","","758","758","758","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","LIJDDG_04720","","","","","","","","","","","","","","",""
"group_4103","parA","ParA-like ATPase involved in chromosome/plasmid partitioning or cellulose biosynthesis protein BcsQ","1","1","1","63","1941","1","509","","758","758","758","","","","","","","","","","","","","","","","","","","","","","BAPHAO_04705","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_4106","nadD","nicotinate (nicotinamide) nucleotide adenylyltransferase","1","1","1","63","1030","2","229","","581","581","581","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AFNEPP_03240","","","","","","","","","","","","","","","","","","","",""
"group_4111","argF","ornithine carbamoyltransferase","1","1","1","63","3207","1","697","","983","983","983","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AFNEPP_00315","","","","","","","","","","","","","","","","","","","",""
"group_4113","Oligopeptide permease-like protein","Oligopeptide permease-like protein","1","1","1","33","1","156","1","Investigate","497","497","497","","","","","","","","","","","","","","","","KFEJKD_06865","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_4114","Oligopeptide permease-like protein","Oligopeptide permease-like protein","1","1","1","55","1","193","1","Investigate","497","497","497","","","","","","","","","","","","","","","","KFEJKD_07080","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_4117","Borrelia family protein","Borrelia family protein","1","1","1","63","2544","1","58","","566","566","566","CKDGNL_06125","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_412","hypothetical protein","hypothetical protein","1","1","1","409","1","591","1","Investigate","347","347","347","","","","","","","","","","","","","NAHIGD_06500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_4127","Borrelia family protein","Borrelia family protein","1","1","1","63","2730","1","85","","566","566","566","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HCFOCN_05960","","","","","","","","","","","","","","","","","","",""
"group_4128","Borrelia family protein","Borrelia family protein","1","1","1","63","2577","1","22","","566","566","566","","","","","","","","","","","","","","","","KFEJKD_05700","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cdr","","CoA-disulfide reductase","1","1","1","63","978","2","177","","1331","1331","1331","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AFNEPP_02965","","","","","","","","","","","","","","","","","","","",""
"group_4141","sbcD","Nuclease SbcCD subunit D","1","1","1","63","3193","1","683","","1241","1241","1241","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AFNEPP_00385","","","","","","","","","","","","","","","","","","","",""
"group_4150","mnmC","tRNA U34 5-methylaminomethyl-2-thiouridine-forming methyltransferase MnmC","1","1","1","63","989","2","188","","677","677","677","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AFNEPP_03020","","","","","","","","","","","","","","","","","","","",""
"group_4152","murD","UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase","1","1","1","63","840","2","39","","1355","1355","1355","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AFNEPP_02215","","","","","","","","","","","","","","","","","","","",""
"group_4156","rlpA","Peptidoglycan lytic transglycosylase RlpA, contains C-terminal SPOR domain","1","1","1","63","985","2","184","","788","788","788","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AFNEPP_03000","","","","","","","","","","","","","","","","","","","",""
"group_4157","rlpA","Peptidoglycan lytic transglycosylase RlpA, contains C-terminal SPOR domain","1","1","1","203","1","271","1","Investigate","788","788","788","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EMEHFM_05915",""
"group_4163","mvk","mevalonate kinase","1","1","1","63","941","2","140","","893","893","893","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AFNEPP_02760","","","","","","","","","","","","","","","","","","","",""
"group_4166","rnfE","Electron transport complex protein RnfE","1","1","1","63","850","2","49","","626","626","626","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AFNEPP_02265","","","","","","","","","","","","","","","","","","","",""
"group_4168","hypothetical protein","hypothetical protein","1","1","1","63","884","2","83","","314","314","314","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AFNEPP_02470","","","","","","","","","","","","","","","","","","","",""
"group_4173","rpmF","50S ribosomal protein L32","1","1","1","63","954","2","153","","182","182","182","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AFNEPP_02830","","","","","","","","","","","","","","","","","","","",""
"group_4175","thyX","FAD-dependent thymidylate synthase","1","1","1","64","139","471","27","","797","797","797","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HEGNPG_04565","","","","","","","","","","",""
"group_421","Outer membrane protein","Outer membrane protein","1","1","1","63","2506","1","201","","353","353","353","","","","","","","","","","","","","NAHIGD_06475","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_425","BBA14 family lipoprotein","BBA14 family lipoprotein","1","1","1","61","1","183","1","Investigate","209","209","209","","","","","","","","","","","","","","","","KFEJKD_07400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_429","Outer membrane protein","Outer membrane protein","1","1","1","63","2789","1","176","","353","353","353","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HEGNPG_06355","","","","","","","","","","",""
"group_43","Outer membrane protein","Outer membrane protein","1","1","1","63","2417","1","1824","","683","683","683","","","","","","","","","JODKDA_06085","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_434","Outer membrane protein","Outer membrane protein","1","1","1","63","2513","1","35","","353","353","353","","","","","","","","","","","","","","","","KFEJKD_06195","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_436","Outer membrane protein","Outer membrane protein","1","1","1","244","1","358","1","","353","353","353","CKDGNL_06260","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_44","Outer membrane protein","Outer membrane protein","1","1","1","63","2199","1","307","","254","254","254","","","","","","","","","JODKDA_06105","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_443","BBC01","BBC01","1","1","1","63","2543","1","57","","1097","1097","1097","CKDGNL_06130","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_447","Variable large protein","Variable large protein","1","1","1","127","4","211","3","","362","362","362","","","","","","","","","","","","","","GMPCOK_06255","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_448","hypothetical protein","hypothetical protein","1","1","1","127","1","211","4","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","155","155","155","","","","","","","","","","","","","","GMPCOK_06250","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_449","Variable large protein","Variable large protein","1","1","1","140","1","215","1","Investigate","1760","1760","1760","","","","","","","","","","","","","","GMPCOK_06230","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_45","Outer membrane protein","Outer membrane protein","1","1","1","63","2270","1","1814","","608","608","608","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HCFOCN_06190","","","","","","","","","","","","","","","","","","",""
"group_450","Variable large protein","Variable large protein","1","1","1","127","3","211","2","","749","749","749","","","","","","","","","","","","","","GMPCOK_06260","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_451","variable large family protein","variable large family protein","1","1","1","127","2","211","1","","602","602","602","","","","","","","","","","","","","","GMPCOK_06265","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_453","variable large family protein","variable large family protein","1","1","1","122","1","208","1","","389","389","389","","","","","","","","","","","","","","GMPCOK_06190","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_455","Variable large protein","Variable large protein","1","1","1","63","3113","1","1183","","2429","2429","2429","","","","","","","","","","ANPAAP_05555","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_456","Variable large protein","Variable large protein","1","1","1","63","3115","1","1185","","749","749","749","","","","","","","","","","ANPAAP_05565","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_457","variable large family protein","variable large family protein","1","1","1","63","3116","1","1186","","602","602","602","","","","","","","","","","ANPAAP_05570","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_458","variable large family protein","variable large family protein","1","1","1","129","1","226","1","Investigate","746","746","746","","","","","","","","","","ANPAAP_06385","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_460","hypothetical protein","hypothetical protein","1","1","1","63","3112","1","1182","","152","152","152","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPICMG_06600","","","","","","","","","","","","","","","","","",""
"group_463","N-6 DNA methylase","N-6 DNA methylase","1","1","1","63","1380","1","1364","","1016","1016","1016","CKDGNL_05235","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_465","type I site-specific deoxyribonuclease","type I site-specific deoxyribonuclease","1","1","1","63","1523","1","1000","","491","491","491","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HEGNPG_05345","","","","","","","","","","",""
"group_470","hypothetical protein","hypothetical protein","1","1","1","63","1508","1","989","","146","146","146","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HEGNPG_05405","","","","","","","","","","",""
"group_471","class I SAM-dependent DNA methyltransferase","class I SAM-dependent DNA methyltransferase","1","1","1","63","1519","1","994","","1766","1766","1766","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","LGKPKB_04910"
"group_472","class I SAM-dependent DNA methyltransferase","class I SAM-dependent DNA methyltransferase","1","1","1","63","1528","1","1006","","1766","1766","1766","","","","","","","","","","","","","","","EFMOJC_00955","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_473","type I site-specific deoxyribonuclease","type I site-specific deoxyribonuclease","1","1","1","63","1521","1","998","","491","491","491","","","","","","","","","","","","","","","","","","","","","","","","","","","","JHFDLE_06230","","","","","","","","","","","","","","","","","","","","",""
"group_477","Borrelia family protein","Borrelia family protein","1","1","1","63","2704","1","66","","566","566","566","","","","","","","","","","","","","","","","","","","","","","BAPHAO_06095","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_478","DUF226 domain-containing protein","DUF226 domain-containing protein","1","1","1","63","2578","1","26","","338","338","338","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GGIAGI_05695","","",""
"group_483","Borrelia family protein","Borrelia family protein","1","1","1","63","2681","1","14","","458","458","458","","","","","","","","","","","","","NAHIGD_06105","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_487","DUF226 domain-containing protein","DUF226 domain-containing protein","1","1","1","63","2535","1","65","","440","440","440","","","","","","","","","","","","","","","","KFEJKD_06680","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_49","Outer membrane protein","Outer membrane protein","1","1","1","63","2261","1","1820","","608","608","608","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AEKFMC_05460","",""
"group_498","Single-stranded DNA-binding protein","Single-stranded DNA-binding protein","1","1","1","63","2490","1","117","","449","449","449","","","","","","","","","","","","","","","","KFEJKD_06270","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_499","Single-stranded DNA-binding protein","Single-stranded DNA-binding protein","1","1","1","63","2492","1","118","","449","449","449","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NCOCKI_06165","","","","","","","",""
"group_501","Single-stranded DNA-binding protein","Single-stranded DNA-binding protein","1","1","1","63","2744","1","136","","449","449","449","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DMHAMM_06180","","","","",""
"2-9-5 36K minus strand ORF","","2-9-5 36K minus strand ORF","1","1","1","63","2514","1","37","","1016","1016","1016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EMEHFM_05065",""
"group_508","Single-stranded DNA-binding protein","Single-stranded DNA-binding protein","1","1","1","63","2723","1","131","","449","449","449","","","","","","","","","","","","","","","","","","","","BOHBDJ_06230","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_512","Single-stranded DNA-binding protein","Single-stranded DNA-binding protein","1","1","1","63","2494","1","112","","449","449","449","","","","","","","GCGJFL_06275","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_513","Single-stranded DNA-binding protein","Single-stranded DNA-binding protein","1","1","1","63","2495","1","115","","449","449","449","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BLADBF_06480","","","","","","","","","","","","","","","","",""
"group_515","Single-stranded DNA-binding protein","Single-stranded DNA-binding protein","1","1","1","63","2497","1","113","","449","449","449","","","","","DNBOAP_06425","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_516","2-9-5 36K minus strand ORF","2-9-5 36K minus strand ORF","1","1","1","63","2465","1","195","","1016","1016","1016","","","","","DNBOAP_06420","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_525","DUF1322 domain-containing protein","DUF1322 domain-containing protein","1","1","1","431","1","569","1","Investigate","236","236","236","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EPICMG_06645","","","","","","","","","","","","","","","","","",""
"group_53","hypothetical protein","hypothetical protein","1","1","1","63","2244","1","1622","","221","221","221","","","","","","","GCGJFL_06085","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_530","DUF1322 domain-containing protein","DUF1322 domain-containing protein","1","1","1","346","1","531","1","Investigate","236","236","236","","","","","","","","","","","","","","","","","","","","","","","","","","","OFFMIL_06065","","","","","","","","","","","","","","","","","","","","","",""
"ORF02","","ORF02","1","1","1","63","2284","1","1583","","236","236","236","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EMEHFM_05030",""
"group_537","DUF1322 domain-containing protein","DUF1322 domain-containing protein","1","1","1","63","2322","1","1611","","236","236","236","","","","","","","GCGJFL_06185","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_538","DUF1322 domain-containing protein","DUF1322 domain-containing protein","1","1","1","189","2","253","1","Investigate","236","236","236","","","","","","","","","","","","","","","","","GDPOAI_06060","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_539","DUF1322 domain-containing protein","DUF1322 domain-containing protein","1","1","1","185","2","258","1","Investigate","236","236","236","","","","","","","","","","","","","","","","","GDPOAI_06075","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_54","DUF792 domain-containing protein","DUF792 domain-containing protein","1","1","1","63","2279","1","1627","","479","479","479","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","LIJDDG_06120","","","","","","","","","","","","","","",""
"group_545","tail tape measure protein","tail tape measure protein","1","1","1","63","2905","1","866","","2171","2171","2171","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AFNEPP_04430","","","","","","","","","","","","","","","","","","","",""
"Tape measure protein N-terminal domain-containing protein","","Tape measure protein N-terminal domain-containing protein","1","1","1","63","3140","1","820","","3011","3011","3011","","","","","","","","","","","","","","","","","","","","","","","","","","","","JHFDLE_04440","","","","","","","","","","","","","","","","","","","","",""
"group_547","tail tape measure protein","tail tape measure protein","1","1","1","63","2904","1","867","","2171","2171","2171","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","OHAJAL_05970","","","","","","",""
"group_548","Methyl-accepting chemotaxis (MCP) signaling domain protein","Methyl-accepting chemotaxis (MCP) signaling domain protein","1","1","1","63","2936","1","848","","3131","3131","3131","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HEGNPG_05095","","","","","","","","","","",""
"group_55","hypothetical protein","hypothetical protein","1","1","1","63","2280","1","1628","","221","221","221","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","LIJDDG_06115","","","","","","","","","","","","","","",""
"group_551","tail tape measure protein","tail tape measure protein","1","1","1","63","2917","1","798","","2171","2171","2171","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EFDIJO_04770","","","","","","","","","",""
"group_557","bppB","BppB","1","1","1","63","2085","1","1562","","353","353","353","","","","","","","","","","","","","","GMPCOK_06035","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_558","bppB","BppB","1","1","1","27","1","169","2","Investigate","425","425","425","","","","","","","","","","","","","","","","KFEJKD_07050","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"group_56","DUF792 domain-containing protein","DUF792 domain-containing protein","1","1","1","63","2245","1","1633","","479","479","479","","","","","","","","","","","","","","","","","","","","BOHBDJ_06385","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
